#m,n, QR2 b=8
2 2 0.000218
2 4 0.000150
2 8 0.000210
2 16 0.000154
2 32 0.000175
2 64 0.000144
2 100 0.000205
2 128 0.000179
2 256 0.000379
2 500 0.000349
2 512 0.000391
2 1000 0.000558
2 1024 0.000629

4 2 0.000153
4 4 0.000210
4 8 0.000151
4 16 0.000231
4 32 0.000133
4 64 0.000259
4 100 0.000185
4 128 0.000260
4 256 0.000281
4 500 0.000408
4 512 0.000440
4 1000 0.000772
4 1024 0.000794

8 2 0.000142
8 4 0.000150
8 8 0.000301
8 16 0.000166
8 32 0.000226
8 64 0.000302
8 100 0.000269
8 128 0.000250
8 256 0.000343
8 500 0.000432
8 512 0.000575
8 1000 0.000875
8 1024 0.000758

16 2 0.000229
16 4 0.000237
16 8 0.000380
16 16 0.000629
16 32 0.000647
16 64 0.000664
16 100 0.000725
16 128 0.000782
16 256 0.001176
16 500 0.002183
16 512 0.001939
16 1000 0.003228
16 1024 0.003458

32 2 0.000498
32 4 0.000645
32 8 0.000936
32 16 0.001810
32 32 0.001875
32 64 0.002552
32 100 0.002624
32 128 0.003071
32 256 0.004283
32 500 0.008118
32 512 0.007132
32 1000 0.012857
32 1024 0.012411

64 2 0.001101
64 4 0.001188
64 8 0.002045
64 16 0.003491
64 32 0.006301
64 64 0.010034
64 100 0.014860
64 128 0.012266
64 256 0.017438
64 500 0.027391
64 512 0.030086
64 1000 0.049104
64 1024 0.052215

100 2 0.002749
100 4 0.002965
100 8 0.003996
100 16 0.007452
100 32 0.017009
100 64 0.023715
100 100 0.039581
100 128 0.035640
100 256 0.057262
100 500 0.074043
100 512 0.073700
100 1000 0.113594
100 1024 0.124254

128 2 0.003926
128 4 0.003525
128 8 0.003915
128 16 0.011193
128 32 0.020105
128 64 0.032883
128 100 0.045011
128 128 0.053001
128 256 0.078334
128 500 0.109368
128 512 0.119400
128 1000 0.188562
128 1024 0.181569

256 2 0.011296
256 4 0.010014
256 8 0.011347
256 16 0.032238
256 32 0.043340
256 64 0.094441
256 100 0.145093
256 128 0.171544
256 256 0.271644
256 500 0.385434
256 512 0.389627
256 1000 0.613056
256 1024 0.624530

500 2 0.036424
500 4 0.033810
500 8 0.038380
500 16 0.070450
500 32 0.137914
500 64 0.218212
500 100 0.404781
500 128 0.483834
500 256 0.896359
500 500 1.488901
500 512 1.563071
500 1000 2.155286
500 1024 2.107041

512 2 0.020385
512 4 0.027063
512 8 0.026449
512 16 0.063155
512 32 0.119705
512 64 0.258887
512 100 0.402710
512 128 0.492206
512 256 0.921907
512 500 1.363833
512 512 1.519298
512 1000 2.038035
512 1024 2.065225

1000 2 0.113306
1000 4 0.112559
1000 8 0.090579
1000 16 0.212631
1000 32 0.323826
1000 64 0.694161
1000 100 1.079000
1000 128 1.551296
1000 256 2.259461
1000 500 4.197947
1000 512 4.235765
1000 1000 9.155917
1000 1024 8.053028

1024 2 0.112063
1024 4 0.102785
1024 8 0.111074
1024 16 0.204210
1024 32 0.345065
1024 64 0.705370
1024 100 1.024263
1024 128 1.378699
1024 256 2.519550
1024 500 4.399005
1024 512 4.462044
1024 1000 7.999479
1024 1024 8.084765

2048 2 0.284945
2048 4 0.267074
2048 8 0.282663
2048 16 0.521989
2048 32 1.048688
2048 64 2.026659
2048 100 3.165121
2048 128 3.855177
2048 256 7.441062
2048 500 14.201660
2048 512 14.754861
2048 1000 27.454963
2048 1024 27.655142



#m,n,time QR b=8
2 2 0.000371
2 4 0.000203
2 8 0.000197
2 16 0.000242
2 32 0.000233
2 64 0.000384
2 100 0.000474
2 128 0.000582
2 256 0.000472
2 500 0.000808
2 512 0.000842
2 1000 0.000848
2 1024 0.001361

4 2 0.000349
4 4 0.000256
4 8 0.000242
4 16 0.000239
4 32 0.000253
4 64 0.000353
4 100 0.000397
4 128 0.000349
4 256 0.000438
4 500 0.000637
4 512 0.000868
4 1000 0.001528
4 1024 0.001439

8 2 0.000336
8 4 0.000282
8 8 0.000377
8 16 0.000295
8 32 0.000326
8 64 0.000445
8 100 0.000475
8 128 0.000477
8 256 0.000719
8 500 0.001037
8 512 0.000820
8 1000 0.001726
8 1024 0.001527

16 2 0.000424
16 4 0.000459
16 8 0.000656
16 16 0.000806
16 32 0.001074
16 64 0.001236
16 100 0.001125
16 128 0.001468
16 256 0.001561
16 500 0.003535
16 512 0.002858
16 1000 0.003842
16 1024 0.003700

32 2 0.001003
32 4 0.001271
32 8 0.001399
32 16 0.003214
32 32 0.004643
32 64 0.005341
32 100 0.003784
32 128 0.005602
32 256 0.007893
32 500 0.010359
32 512 0.007667
32 1000 0.013855
32 1024 0.013723

64 2 0.003135
64 4 0.004097
64 8 0.005088
64 16 0.010045
64 32 0.017400
64 64 0.023345
64 100 0.015347
64 128 0.029004
64 256 0.033476
64 500 0.045194
64 512 0.037075
64 1000 0.059848
64 1024 0.060576

100 2 0.008314
100 4 0.008896
100 8 0.007311
100 16 0.021123
100 32 0.041658
100 64 0.065547
100 100 0.082437
100 128 0.083877
100 256 0.097851
100 500 0.127879
100 512 0.133877
100 1000 0.133256
100 1024 0.111954

128 2 0.008245
128 4 0.014356
128 8 0.006928
128 16 0.025334
128 32 0.051890
128 64 0.055718
128 100 0.071072
128 128 0.142869
128 256 0.150961
128 500 0.200820
128 512 0.233797
128 1000 0.273955
128 1024 0.149935

256 2 0.029876
256 4 0.058326
256 8 0.048378
256 16 0.094689
256 32 0.201425
256 64 0.193625
256 100 0.276160
256 128 0.333494
256 256 0.584491
256 500 1.087724
256 512 0.873657
256 1000 0.891598
256 1024 0.967291

500 2 0.167170
500 4 0.141720
500 8 0.077854
500 16 0.227122
500 32 0.414887
500 64 0.628836
500 100 1.154936
500 128 1.347539
500 256 2.314049
500 500 3.151014
500 512 3.122851
500 1000 4.322888
500 1024 3.999974

512 2 0.179968
512 4 0.090170
512 8 0.156672
512 16 0.283737
512 32 0.326633
512 64 0.691500
512 100 1.094039
512 128 1.343421
512 256 2.580690
512 500 3.180446
512 512 3.244302
512 1000 4.247077
512 1024 5.233372

1000 2 0.413807
1000 4 0.298335
1000 8 0.389523
1000 16 0.692719
1000 32 1.140982
1000 64 2.454423
1000 100 4.023032
1000 128 4.756637
1000 256 9.130746
1000 500 15.971691
1000 512 16.204557
1000 1000 24.614274
1000 1024 22.386842

1024 2 0.317539
1024 4 0.319559
1024 8 0.310457
1024 16 0.615337
1024 32 1.389558
1024 64 2.539911
1024 100 4.212743
1024 128 5.029845
1024 256 9.313562
1024 500 17.100709
1024 512 17.258014
1024 1000 25.525212
1024 1024 24.055799

2048 2 1.271599
2048 4 1.291282
2048 8 1.249213
2048 16 2.471886
2048 32 4.933997
2048 64 10.096956
2048 100 15.805210
2048 128 19.253550
2048 256 38.138545
2048 500 73.248186
2048 512 71.998326
2048 1000 122.978392
2048 1024 126.403689
